"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""2"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""
"83.000,-2712.510,-0.632,104.700,-203.438,****"
"83.200,-2627.403,-0.626,104.700,-197.055,****"
"83.400,-2696.161,-0.628,104.700,-202.212,****"
"83.600,-2662.985,-0.630,104.700,-199.724,****"
"83.800,-2659.477,-0.623,104.700,-199.461,****"
"84.000,-2695.253,-0.634,104.700,-202.144,****"
"84.200,-2628.840,-0.623,104.700,-197.163,****"
"84.400,-2714.422,-0.630,104.700,-203.582,****"
"84.600,-2637.979,-0.627,104.700,-197.848,****"
"84.800,-2690.940,-0.627,104.700,-201.820,****"
"85.000,-2666.360,-0.631,104.700,-199.977,****"
"85.200,-2658.023,-0.623,104.700,-199.352,****"
"85.400,-2696.337,-0.634,104.700,-202.225,****"
"85.600,-2629.751,-0.623,104.700,-197.231,****"
"85.800,-2714.553,-0.630,104.700,-203.591,****"
"85.960,-2625.523,-0.625,104.700,-196.914,****"
"86.400,-2692.002,-0.631,104.700,-201.900,****"
"86.600,-2706.882,-0.633,104.700,-203.016,****"
"86.800,-2722.725,-0.635,104.700,-204.204,****"
"87.000,-2737.849,-0.637,104.700,-205.339,****"
"87.200,-2754.015,-0.639,104.700,-206.551,****"
"87.400,-2768.315,-0.641,104.700,-207.624,****"
"87.600,-2783.439,-0.643,104.700,-208.758,****"
"87.800,-2798.161,-0.645,104.700,-209.862,****"
"88.000,-2813.268,-0.647,104.700,-210.995,****"
"88.200,-2827.443,-0.649,104.700,-212.058,****"
"88.400,-2842.623,-0.651,104.700,-213.197,****"
"88.600,-2856.470,-0.653,104.700,-214.235,****"
"88.800,-2870.664,-0.655,104.700,-215.300,****"
"89.000,-2886.130,-0.657,104.700,-216.460,****"
"89.200,-2900.937,-0.659,104.700,-217.570,****"
"89.400,-2915.480,-0.661,104.700,-218.661,****"
"89.600,-2929.638,-0.663,104.700,-219.723,****"
"89.800,-2944.296,-0.665,104.700,-220.822,****"
"90.000,-2958.987,-0.667,104.700,-221.924,****"
"90.200,-2973.753,-0.669,104.700,-223.031,****"
"90.400,-2988.221,-0.671,104.700,-224.117,****"
"90.600,-3002.413,-0.673,104.700,-225.181,****"
"90.800,-3016.892,-0.675,104.700,-226.267,****"
"91.000,-3031.162,-0.677,104.700,-227.337,****"
"91.200,-3046.299,-0.679,104.700,-228.472,****"
"91.400,-3060.334,-0.681,104.700,-229.525,****"
"91.600,-3075.220,-0.683,104.700,-230.642,****"
"91.800,-3089.311,-0.685,104.700,-231.698,****"
"92.000,-3103.536,-0.687,104.700,-232.765,****"
"92.200,-3118.602,-0.689,104.700,-233.895,****"
"92.400,-3132.498,-0.690,104.700,-234.937,****"
"92.600,-3146.969,-0.692,104.700,-236.023,****"
"92.800,-3161.850,-0.695,104.700,-237.139,****"
"93.000,-3176.715,-0.696,104.700,-238.254,****"
"93.200,-3190.490,-0.698,104.700,-239.287,****"
"93.400,-3205.234,-0.700,104.700,-240.393,****"
"93.600,-3220.365,-0.703,104.700,-241.527,****"
"93.800,-3234.260,-0.704,104.700,-242.570,****"
"94.000,-3249.316,-0.706,104.700,-243.699,****"
"94.200,-3263.887,-0.709,104.700,-244.791,****"
"94.400,-3277.937,-0.710,104.600,-245.845,****"
"94.600,-3292.551,-0.712,104.600,-246.941,****"
"94.800,-3308.059,-0.714,104.600,-248.104,****"
"95.000,-3321.498,-0.716,104.600,-249.112,****"
"95.160,-3333.127,-0.718,104.600,-249.985,****"
